idx,n_records,confidence,variability,correctness,region
193,3,0.9393012324968973,0.051936261948655506,1.0,Easy-to-learn
194,3,0.8134852250417074,0.1045934028453867,1.0,Easy-to-learn
195,3,0.10372143362959226,0.09064751077793749,0.0,Hard-to-learn
196,3,0.816432515780131,0.13058001609400785,1.0,Easy-to-learn
197,3,0.8754750887552897,0.051109869652820446,1.0,Easy-to-learn
198,3,0.4487200776735942,0.14690860820112653,0.6666666666666666,Ambiguous
199,3,0.7279648979504904,0.09933473998702297,1.0,Easy-to-learn
200,3,0.733575647075971,0.3633140732135701,1.0,Easy-to-learn
201,3,0.5998892883459727,0.13632362459343522,1.0,Easy-to-learn
202,3,0.3447983463605245,0.03779334032323254,0.0,Hard-to-learn
203,3,0.9328678846359253,0.055282191820585,1.0,Easy-to-learn
204,3,0.22344035717348257,0.15628066562834608,0.0,Hard-to-learn
205,3,0.9668405055999756,0.026366909350171105,1.0,Easy-to-learn
206,3,0.9822570085525513,0.010230525759370076,1.0,Easy-to-learn
207,3,0.9656195640563965,0.03496650062126422,1.0,Easy-to-learn
208,3,0.7569822470347086,0.309417629253222,1.0,Easy-to-learn
209,3,0.9242474436759949,0.06689923728906114,1.0,Easy-to-learn
210,3,0.9121566017468771,0.09789681235412018,1.0,Easy-to-learn
211,3,0.17891402915120125,0.12157615145181687,0.0,Hard-to-learn
212,3,0.9479664961496989,0.05618315480006352,1.0,Easy-to-learn
213,3,0.6636791874965032,0.3538127099664883,0.6666666666666666,Ambiguous
214,3,0.9562869668006897,0.048872354627908246,1.0,Easy-to-learn
215,3,0.9562118252118429,0.022538666864169526,1.0,Easy-to-learn
216,3,0.7461797992388407,0.13851260919587197,1.0,Easy-to-learn
217,3,0.2596729596455892,0.06326788743095017,0.3333333333333333,Hard-to-learn
218,3,0.5828538338343302,0.2775808876432794,1.0,Easy-to-learn
219,3,0.6262757815420628,0.4120335750056902,0.6666666666666666,Ambiguous
220,3,0.7411825060844421,0.11856646723942914,1.0,Easy-to-learn
221,3,0.5537011524041494,0.26967499752499136,1.0,Easy-to-learn
222,3,0.6035285672405735,0.4290735338464013,0.6666666666666666,Ambiguous
223,3,0.6122671564420065,0.14764043287955167,1.0,Easy-to-learn
224,3,0.542929490407308,0.2734760022784965,1.0,Easy-to-learn
225,3,0.7650089661280314,0.05329696437991664,1.0,Easy-to-learn
226,3,0.312805045725933,0.2995643397782267,0.6666666666666666,Ambiguous
227,3,0.8245999614397684,0.12207888880547964,1.0,Easy-to-learn
228,3,0.2683539092540741,0.1916770756267087,0.3333333333333333,Hard-to-learn
229,3,0.2710820725187659,0.3674179524496192,0.3333333333333333,Hard-to-learn
230,3,0.44246835509936017,0.15029006951642182,0.6666666666666666,Ambiguous
231,3,0.8091933727264404,0.17586825544036108,1.0,Easy-to-learn
232,3,0.25419529122518725,0.18448726010437222,0.6666666666666666,Ambiguous
233,3,0.2502989321947098,0.06254825997253396,0.0,Hard-to-learn
234,3,0.07201352342963219,0.02659478324864441,0.0,Hard-to-learn
235,3,0.9713196953137716,0.03198665277213083,1.0,Easy-to-learn
236,3,0.5870983997980753,0.22366201140683023,0.6666666666666666,Ambiguous
237,3,0.933838963508606,0.04997935139768203,1.0,Easy-to-learn
